city,total_sales_value
Alto Boa Vista,1694.0
Mansidão,398.0
Quarto Centenário,1445.0
Piumhi,3529.0
Arujá,8164.0
Cássia,557.5
Urânia,2322.0
Camamu,2403.0
Aiuaba,377.99
Batatais,15482.89
Palmeiras de Goiás,3174.0
Ilha Comprida,449.0
Conceição de Macabu,13507.279999999999
Iuiu,647.0
SÃo LuÍs,498.0
Giruá,349.0
Porto da Folha,1254.99
Caldas,1594.0
João Câmara,398.0
MACEIO,298.0
Antônio Carlos,657.25
Rio Bonito,31114.06
Ladário,477.0
Visconde do Rio Branco,7016.4
Itaporanga,1719.5
Paulo Ramos,1645.0
Itaíba,224.5
João Pinheiro,9615.0
Divino,3708.5
São João do Manteninha,249.0
Crateús,847.0
Ariquemes,8456.15
Curitiba ,1322.5
Almenara,4247.98
São José da Safira,727.0
Barra do Garças,10017.0
Boninal,4274.0
Parati,1376.98
IPOJUCA,3048.6
Palmeira dos Índios,18840.190000000002
Olivença,1247.0
Pai Pedro,209.4
Novo Horizonte,2372.0
Salto de Pirapora,1543.0
Charqueada,274.5
Tobias Barreto,1300.5
Santa Maria da Vitória,9114.689999999999
Caçapava,21673.8
Ipirá,8627.0
São Bento Abade,298.0
Turmalina,2510.7999999999997
Francisco Alves,398.0
Amargosa,1057.0
Anápolis ,89.99
Rio Acima,2460.0
São Luís de Montes Belos,6636.0
Matutina,403.5
Quaraí,1078.98
Várzea Nova,449.0
Ouro preto,975.0
Ijuí,2433.0
Queluz,1175.0
Carnaubais,796.0
Coqueiral,1127.0
Rinópolis,847.0
Umarizal,379.0
Santo Antônio do Descoberto,778.0
Rj,245.0
Teresina de Goiás,549.0
Dois Vizinhos,857.0
Sumé,349.0
Cariacica ,159.0
Bom Despacho,14336.4
Santa Cruz Cabrália,3285.7
Aporá,398.0
Rio de jant,129.0
Joinville,39307.47
Camalaú,1226.0
Serra dos Aimorés,4165.0
Mairinque,199.0
Flores de Goiás,1096.0
São Bento do Sul,1247.0
Monte Santo de Minas,1502.0
Itajuípe,977.0
Confins,1603.0
Niterói,898659.4899999991
Cocalzinho de Goiás,4970.0
Campos Altos,727.0
Quedas do Iguaçu,537.0
Guarabira,608.99
Fronteiras,1614.0
Pirapozinho,5418.0
Patrocínio,43190.45
Chapada,598.0
Piraúba,1342.9
Nova mutum,449.0
Sardoá,249.0
Estreito,3478.0
brasilia,329.0
SANTA CRUZ DO RIO PARDO,398.0
