productId,title,stock
75267,Calça Cenoura Pregas Laranja Kino - GG,True
81660,Camisa Plissada Estampada Onda De Cor Est Onda De Cor_Multicolorido @ - M,True
72427,Calça Flare Adidas Estampada Sunny Day Azul Escuro - PP,True
75229,Calça Reta Pregas Bege Amendoa - GG,True
69619,Flower Thong Sandal Prata Velha - 42,True
67053,Top Biquíni Tricot Amarração Rosa Malva - GG,True
75500,Sandália Salto Anabela Preto - 41,True
149424,Calça Tarde De Verão Listra Tarde De Verao_Listra_Rosa Topazio - P,True
75265,Calça Cenoura Pregas Preto - PP,True
79562,Vestido Longo Estampado Persa Persa_Azul Carbono - G,True
81427,Vestido Curto Marias Marinho Sodalita - PP,True
83251,Macacão Siga o Sol Preto - M,True
154726,Jardineira Bebe Fila De Peixe Est Cais Fundo Off - 18M,True
84385,Vestido Longo Estampado Luiza Est Luiza_Off White - G,True
71714,Calça Bolso Moletom Off White - M,True
83792,Macacão Cenoura Recortes Amarelo Cevada - P,True
69611,Puff Sandal Flatform Off White - 42,True
80166,Blazer Estampado Copabanana Copabanana_Azul Catavento - G,True
75346,Sand Rasteira Miçanga Rosa - 35,True
77550,Calça Jeans Maxi Bordado Miçangas Jeans Claro - 46,True
152146,Canga Praiana Mandalina Mandalina - U,True
76615,Cardigan Tricot Pelinho Estrelas Azul Recife - M,True
84698,Praiana Est Carioca Off White - 35 36,True
61013,Mule Amarracao Xadrez Pitanga Xadrez Pitanga Amarelo - 36,True
75346,Sand Rasteira Miçanga Rosa - 36,True
81132,Vestido Adidas Psychedelic Wave Vermelho Vermelho Goiaba - M,True
78599,Sandália Rasteira Slipper Preto - 40,True
77232,Blazer Estampado Pose Surreal Pose Surreal_Roxo Fada - P,True
36305,Regata Basica Rosa Frutti - M,True
80367,Vestido T-Shirt Big Estampado Dália Est Dalia_Preto - P,True
80394,Vestido Cropped Estampado Floral Emily Est Floral Emily_Bege Macrame @ - G,True
73086,Sandália Plataforma Puffer Est Bossa Banana_Verde Bandeira @ - 44,True
82005,Calça Guipure Amor De Abacaxi Off White - M,True
75753,Saia Curta Guipure Praia De Rio Verde - P,True
84053,Calça Pantalona Pregas Off White - G,True
81874,Vestido Cropped Estampado Lenço Floraline Est Lenco Floraline_Off White @ - G,True
84228,Vestido Curto Estampado Samambaia Est Samambaia_Off White @ - GG,True
77896,Calça Pantalona Estampada Listra Rainbow Listra Rainbow_Multicolorido - PP,True
84697,Tn Avenida Tratorado Férias Na Praia Coqueiral - 39,True
