city,total_revenue
Campo Formoso,11336.98
Tubarão,11320.02
Votorantim,11278.48
Fernandópolis,11179.3
Pato Branco,11172.0
Uruguaiana,11171.99
Inhumas,11123.49
Alfredo Chaves,11062.49
São João Nepomuceno,11050.99
Louveira,11040.0
Açailândia,11023.6
Lagarto,11016.97
Vila Valério,10950.2
Bertioga,10891.0
Prado,10859.0
Paty do Alferes,10799.99
Bento Gonçalves,10756.0
Salinas,10691.0
Itapaci,10648.0
Paraíba do Sul,10620.88
Mucuri,10548.69
Ibitirama,10372.0
Carapebus,10361.18
Itaocara,10309.6
Itabela,10275.3
Carmo,10257.3
Cruz das Almas,10221.2
Passos,10208.49
Canaã dos Carajás,10185.2
Cabedelo,10141.69
Presidente Epitácio,10031.0
Barra do Garças,10017.0
Recreio,9975.99
Cambé,9946.2
Várzea da Palma,9923.45
Paraíso do Tocantins,9920.5
Santana do Paraíso,9915.4
Araçuaí,9886.0
Conselheiro Pena,9877.0
União dos Palmares,9827.8
Aimorés,9808.19
Votuporanga,9787.0
Itaberaí,9763.09
Garanhuns,9759.1
Rio Grande,9726.599999999999
Congonhas,9692.48
Pedreira,9679.99
Nova Serrana,9678.0
João Pinheiro,9615.0
Garça,9550.5
São Pedro,9455.0
Mirandópolis,9449.689999999999
Santa Cruz do Rio Pardo,9376.0
São José do Rio Pardo,9361.49
Ecoporanga,9360.0
Ituverava,9321.2
Espírito Santo do Pinhal,9282.5
Avaré,9243.98
Paranavaí,9221.5
Santa Cruz das Palmeiras,9194.3
Crixás,9183.08
Colíder,9137.0
Primavera do Leste,9133.99
Santa Maria da Vitória,9114.689999999999
Jequié,9111.99
Sarandi,9076.5
Perdizes,9051.9
Dias D'Ávila,9021.35
Guaíra,8991.19
Sacramento,8971.470000000001
Goianésia,8901.99
Mairiporã,8895.75
Diamantino,8870.0
Vila Pavão,8865.869999999999
Seabra,8865.2
Ribeirão das Neves,8805.98
Itaguara,8754.0
Rio De Janeiro,8744.6
Itajubá,8742.380000000001
Novo Hamburgo,8727.57
Picos,8725.2
Balsas,8723.48
Amparo,8717.0
Ipirá,8627.0
Serrinha,8570.9
CAMPINAS,8555.0
sao paulo,8547.0
Bandeirantes,8540.0
Delmiro Gouveia,8537.47
Santa Bárbara,8525.99
Matão,8503.0
Ariquemes,8456.15
Jacobina,8430.98
São Cristóvão,8424.7
Goiana,8418.0
Ouro Branco,8402.6
São Sebastião do Paraíso,8380.99
Itatiaia,8345.880000000001
Ouro Preto do Oeste,8337.99
Brumado,8313.95
Torres,8289.98
Penápolis,8253.58
Arujá,8164.0
Sooretama,8138.37
Ituiutaba,8117.4
Piatã,8095.6
Santa Teresa,8091.0
Baixo Guandu,8046.4
São Miguel do Oeste,8028.5
Cianorte,8022.469999999999
Catu,8019.0
Santos Dumont,8017.950000000001
Rolândia,8015.59
Imbituba,8003.49
Pontes e Lacerda,7973.5
Descalvado,7950.3
Santa Maria Madalena,7935.99
Barra de São Francisco,7902.0
Pinheiral,7887.3
Itapetinga,7877.389999999999
Guarapuava,7871.49
Minas Novas,7858.95
Jales,7849.5
Ibiraçu,7785.09
Rio Piracicaba,7711.0
Canarana,7699.6
Campo Belo,7689.2
Pinheiros,7688.6
Porto Feliz,7672.5
Salto,7668.870000000001
Orlândia,7609.99
Astolfo Dutra,7609.7
Matipó,7565.9
Paranaguá,7520.0
Pará de Minas,7519.2
Jaguarari,7500.1900000000005
Silva Jardim,7462.5
Caetité,7432.0
Santa Fé do Sul,7410.0
Capim Grosso,7405.0
Ibatiba,7391.0
Arcoverde,7378.5
Itanhandu,7365.0
São Leopoldo,7328.0
Itupeva,7309.2
Altinópolis,7271.98
Itápolis,7262.69
Tanguá,7252.98
Rondon do Pará,7240.49
Cubatão,7230.49
Juazeiro do Norte,7225.99
Inhapim,7194.0
Santo Estêvão,7189.1
Tailândia,7142.5
Cachoeirinha,7128.099999999999
Tucano,7120.99
Alegre,7114.5
Euclides da Cunha,7114.5
Presidente Dutra,7106.58
Ceres,7104.4
Carazinho,7075.0
Vespasiano,7046.6
Lençóis Paulista,7037.4
Visconde do Rio Branco,7016.4
Limoeiro,7007.0
Jaciara,7004.0
Sarzedo,6995.94
Santa Maria de Jetibá,6984.99
Rio do Sul,6983.5
Morada Nova de Minas,6983.0
Capanema,6979.95
Caucaia,6968.0
Gravataí,6967.5
Castilho,6915.0
Ipiaú,6861.6
Senador Canedo,6857.99
Posse,6848.0
Cabo de Santo Agostinho,6846.099999999999
Alta Floresta,6837.0
Ibirité,6801.0
Presidente Kennedy,6793.0
Rio Brilhante,6720.98
Marechal Deodoro,6720.8
Conceição do Coité,6693.98
Guariba,6692.0
Embu das Artes,6689.5
Timbaúba,6665.5
São Roque,6664.9
Minaçu,6660.99
São Miguel do Iguaçu,6646.2
São Luís de Montes Belos,6636.0
Presidente Venceslau,6625.1
Floriano,6625.0
São Francisco de Paula,6609.0
Miguelópolis,6590.5
Corumbataí,6574.0
Ipaba,6565.5
Porto Belo,6553.99
Cornélio Procópio,6530.25
Tupaciguara,6496.0
Bananal,6485.19
Japeri,6455.95
Palotina,6441.0
Iguaba Grande,6433.5
Campo Verde,6397.0
Medina,6376.0
Itaberaba,6375.99
Palmares,6363.98
Guaçuí,6307.8
São Borja,6305.6
Colombo,6295.0
Santa Cruz do Sul,6286.6
Simão Dias,6285.0
Divinolândia,6198.48
Bagé,6179.0
Pitangueiras,6169.0
Marechal Cândido Rondon,6138.5
Ribeirão Pires,6134.19
Vargem Grande do Sul,6131.98
Mineiros,6126.389999999999
Cravinhos,6121.0
Arcos,6117.2
Confresa,6117.0
Senhora dos Remédios,6114.5
Erechim,6087.5
Pirenópolis,6031.68
Matozinhos,6021.0
Osvaldo Cruz,5998.97
Redenção,5995.5599999999995
Muqui,5978.5
Ipuã,5950.99
Rialma,5916.0
Cardoso Moreira,5862.99
Camboriú,5857.99
Currais Novos,5833.5
Pontal do Paraná,5799.0
Duartina,5749.5
Itaituba,5731.6
Sapucaia,5719.969999999999
Araranguá,5705.99
Santo Antônio da Platina,5695.0
Araputanga,5686.0
Tiradentes,5682.9400000000005
Piraju,5670.0
Santo Amaro,5659.49
Caicó,5644.5
Muniz Freire,5643.5
Guararapes,5642.39
Miraí,5627.0
São José de Ribamar,5625.3
Porto Nacional,5617.0
Livramento de Nossa Senhora,5569.0
Jussara,5565.0
Igarapé-Açu,5563.49
Igarassu,5539.2
Joaçaba,5532.0
Colinas do Tocantins,5526.0
Claro dos Poções,5524.5
Itambacuri,5523.0
Ipameri,5522.49
Iapu,5494.5
Almirante Tamandaré,5494.0
Presidente Tancredo Neves,5476.7
Peçanha,5463.0
Frutal,5459.0
Ivaiporã,5454.99
Sumidouro,5446.99
Navegantes,5434.5
Pirapozinho,5418.0
Guaxupé,5402.78
Guaramirim,5400.0
